_¶é__³è,"If you do wish to participate in the research study, please select ""Agree"".",(1) Current country/area of residence?,(2) What is your current occupation?,(3) Your primary programming language?,(4) What best describes your primary role?,(5) How many years of experience do you have with your primary role?,(1) Do you think refactoring is an important part of DL software development process?,(2) Do you think the refactoring operations below are important in DL projects? [Rename],(2) Do you think the refactoring operations below are important in DL projects? [Move],(2) Do you think the refactoring operations below are important in DL projects? [Extract],(2) Do you think the refactoring operations below are important in DL projects? [Inline],(2) Do you think the refactoring operations below are important in DL projects? [Pull up],(2) Do you think the refactoring operations below are important in DL projects? [Push down],(2) Do you think the refactoring operations below are important in DL projects? [API Refactoring],(2) Do you think the refactoring operations below are important in DL projects? [Consolidate or Decompose Conditional Expression],(2) Do you think the refactoring operations below are important in DL projects? [Remove Dead Code],(3) Do you think refactoring operations below are frequently used in DL projects? [Rename],(3) Do you think refactoring operations below are frequently used in DL projects? [Move],(3) Do you think refactoring operations below are frequently used in DL projects? [Extract],(3) Do you think refactoring operations below are frequently used in DL projects? [Inline],(3) Do you think refactoring operations below are frequently used in DL projects? [Pull up],(3) Do you think refactoring operations below are frequently used in DL projects? [Push down],(3) Do you think refactoring operations below are frequently used in DL projects? [API Refactoring],(3) Do you think refactoring operations below are frequently used in DL projects? [Consolidate or Decompose Conditional Expression],(3) Do you think refactoring operations below are frequently used in DL projects? [Remove Dead Code],"(4) If you have a refactoring operation to add, please write it below.",(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Variable],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Statement],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Method],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Class],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Module],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Variable],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Statement],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Method],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Class],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Module],(1) Have you used or are you familiar with code smell detection tools?,"(2) If you have used code smell detection tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying code smell detection tools so far?",(4) Have you used or are you familiar with automatic refactoring tools?,"(5) If you have used automatic refactoring tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying automatic refactoring tools so far?",(6) Have you encountered any challenges or obstacles when using automatic refactoring tools? Please describe.,(1) Do you have any suggestions on how to improve automatic refactoring tools? ,"(2) Thank you very much for participating in our survey. If you have any additional comments or ideas, please feel free to share them below."
2023-11-13 ä¸__09:37:38,Agree,India,Industrial or freelance professional,Python,MLOps,2 to 3 years,Agree,Neutral,Agree,Strong Agree,Agree,Neutral,Neutral,Strong Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Strong Agree,Method extraction,Neutral,Agree,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Yes,"Generally good for mid-level complexity programs, but are not good for at most coverage",No,I don__ have much experience regarding these,They are not quite marketed well as compared to other refactoring tools,Just a better test coverage after the automatic refactoring,It was genuinely on point survey
2023-11-14 ä¸__10:57:37,Agree,China,Industrial or freelance professional,"C/C++, Python",Development,6 to 9 years,Agree,Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,"Performance refactoring, code readability refactoring",Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,No,,No,,,,JAX is rising star
2023-11-18 ä¸__03:07:04,Agree,Italy,Academic or industrial researcher,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,,Neutral,Neutral,Yes,once you try them you never come back,Yes,Absolutely necessary to keep the code clean and professional,when refactoring the imports usually they tend to use the absolute instead of the relative path,learn the user's coding style and adapt to it instead of forcing a predefined standard,keep the hard work!
2023-11-12 ä¸__11:02:16,Agree,China,Undergraduate/graduate student,"Python, JavaScript",Algorithm/ML Model Design,6 to 9 years,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Disagree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Disagree,Strong Agree,Agree,Register,Disagree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Yes,They find it difficult to distinguish more semantically,No,"No. A project should design an architectural hierarchy at the beginning, decouple the capabilities of each part, improve the system's localization, and adjust the entire architecture during refactoring",It would be very useful if architecture level refactoring could be carried out,It would be very useful if architecture level refactoring could be carried out,Looking forward to receiving the progress of your group's follow-up work. :)
2023-11-17 ä¸__06:20:05,Agree,India,Industrial or freelance professional,"Python, JavaScript, Go",Development,2 to 3 years,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Disagree,Agree,Strong Agree,Agree,Strong Agree,Agree,Disagree,Agree,Disagree,Disagree,Strong Agree,Agree,Agree,Strong Agree,,Agree,Disagree,Strong Agree,Strong Agree,Agree,Agree,Disagree,Agree,Strong Agree,Disagree,Yes,"Lot of these tools are now using LLMs, which have had both a detrimental and an incremental impact on their quality.",Yes,IDEs do this built-in and are hence quite sufficient for most use-cases.,Not as of yet.,An ability to provide more context to such tools and using that context would be greatly useful to such tools.,N/A
2023-11-8 ä¸__12:37:07,Agree,US,Academic or industrial researcher,"Python, JavaScript",Testing,2 to 3 years,Strong Agree,Agree,Disagree,Agree,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Strong Agree,I don't Know,Agree,Strong Agree,Agree,Strong Agree,,N/A,Agree,Neutral,Strong Agree,Agree,Strong Agree,Agree,Disagree,Neutral,Agree,Strong Agree,No,N/A,Yes,Useful in production,n/a,n/a,n/a
2023-11-13 ä¸__10:02:18,Agree,Brazil,Industrial or freelance professional,Python,data engineer,2 to 3 years,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Lint and qaulity checks in general,No,Need to have the sutffs uner control.,No.,no,no
2023-11-14 ä¸__06:05:46,Agree,"Bangalore, India",Industrial or freelance professional,"C/C++, Python",Algorithm/ML Model Design,6 to 9 years,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Yes,I have used tools like Clang-Tidy. They does what they intend to do as per the configured rules. but usage wise its difficult.,No,Nope,NA,use GPT-4,NO
2023-11-14 ä¸__02:21:49,Agree,Nigeria,Undergraduate/graduate student,Python,Development,2 to 3 years,Agree,Strong Agree,Strong Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,,Agree,Strong Agree,Agree,Strong Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,No,None,Yes,I think they're great but still needs specific syntax detailing as to what the developer wanted to convey,None,"often times, I don't use it, but I think one way to improve them is to make sure they're keen to the slightest of details to the codes",None
2023-11-14 ä¸__09:19:12,Agree,"Beijing, China",Academic or industrial researcher,"Python, Shell",Algorithm/ML Model Design,4 to 5 years,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,"Then I have to redesign, reconstruct, and refactoring the operation.",Strong Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Yes,I've mainly used tools like Copilot and Cursor. These have been my go-to choices for code-related tasks.,Yes,I've mainly used tools such as Copilot and Cursor for my tasks. They have been my primary tools in this context.,"Generally, I haven't encountered significant challenges. The main effort lies in designing prompts and validating the modification results suggested by these tools. If I were to pinpoint a primary challenge, it would be the lack of a systemic understanding of the logic and methods behind refactoring, as opposed to relying on past experience and lessons learned.","I believe it's essential to utilize GPT-like tools, and I recommend a deeper exploration into the design of prompts for these tools.",None
2023-11-26 ä¸__07:53:42,Agree,UK,Academic or industrial researcher,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,No,,Yes,It can hardly analysis project with complicate config,Nope,"I can talk about this issue if you want, refactoring is one of the most important thing in my research.",Nope
2023-11-13 ä¸__08:23:33,Agree,China/beijing,Industrial or freelance professional,Python,Testing,10 years or more,Strong Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,null,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,project limit,No,project limit,null,null,null
2023-11-28 ä¸__04:36:44,Agree,PRC,Industrial or freelance professional,Python,Algorithm/ML Model Design,10 years or more,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,extract class property,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,No,found bad code,Yes,it can't guarantee the safe,it can't extract the variable to class's property,no,ok
2023-11-20 ä¸__11:28:03,Agree,United States,Academic or industrial researcher,"Python, JavaScript",Educator,10 years or more,Neutral,Strong Agree,I don't Know,Strong Agree,Agree,I don't Know,I don't Know,I don't Know,I don't Know,Strong Agree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,,Strong Agree,Strong Agree,Agree,Neutral,Neutral,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Yes,,Yes,They are rarely useful to me.,,"I find their suggestions typically primitive and simple, things that would be easy to do by hand.","Sorry that I said ""I don't know"" for so many responses, but most of my coding work is not in DL, but in general data science or web software development."
2023-11-14 ä¸__04:25:49,Agree,Australia,Industrial or freelance professional,Python,Architect,2 to 3 years,Strong Agree,Strong Agree,Agree,Strong Agree,,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,I don't Know,Strong Agree,I don't Know,Strong Agree,Agree,I don't Know,Agree,Strong Agree,"Relocate - move code from one file to another, independently of moving it to another class. So similar to the defined Move operation, but this is more to do with the physical and relative location of code. Particularly of note when dealing with code that has a number of global variables or singleton usage (although that could be a code smell, a topic for another day)",Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,Agree,Strong Agree,Yes,"Like any code quality tool, sometimes you need to suppress the feedback and if the ability to filter out this feedback is too granular it leads to a lot of filler in your code, if it's to broad you may miss out on useful feedback",Yes,,"The python Rope library is where I have the most experience (outside of IDE tooling). I've found the docs to be somewhat lacking in ""how to"" guidance. I've had some success reviewing the unit tests and work out from that how to use specific functionality. Given the complexity of the domain having documentation that serves the purposes of being detailed and then (and perhaps seperate material) is able to concisely demonstrate how to achieve refactoring operations - is needed",Documentation and tutorials. Additionally having a consistent definition of operations,Thank you for reaching out. There's also an intersection of code generation and refactoring to be explored
2023-11-11 ä¸__10:10:10,Agree,United States,Academic or industrial researcher,Python,Military Chaplain?,0 to 1 year,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Strongly Disagree,Strong Agree,Combine with Chomskyan Linguistics to provide access consciousness / remove subconscious,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,i love them and use them all the time,No,didn't know that was a thing,n/a,solve elk/mechinterp problem,thanks! good luck with your study!
2023-11-15 ä¸__06:32:24,Agree,India,Industrial or freelance professional,"Java, Python",Development,6 to 9 years,Agree,Agree,Agree,Disagree,Strong Agree,Agree,Agree,Neutral,Agree,Strong Agree,Agree,Agree,Neutral,Strong Agree,Agree,Strong Agree,Agree,Agree,Agree,Better testing with Mocks in Python using Parametrisation,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Yes,,No,,Can introduce bugs or syntax issues,Use IDE like PyCharm,
2023-11-15 ä¸__06:00:18,Agree,Germany,Academic or industrial researcher,"Python, Rust",Algorithm/ML Model Design,2 to 3 years,Agree,Neutral,Agree,Strong Agree,Strong Agree,Agree,Neutral,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Physical modularisation (ie logical split into separate files),Agree,Neutral,Strong Agree,Agree,Strong Agree,Neutral,Disagree,Agree,Agree,Neutral,Yes,"Usually quite basic yet useful, ie duplicate or dead code detection",Yes,Very useful in 90% of cases within bigger and matured projects,"Some tools not efficiently show all the changes they are suggesting before application, which might lead to unforeseen changes or problems",,
2023-11-29 ä¸__04:27:07,Agree,Taiwan,Industrial or freelance professional,"C/C++, Python",Algorithm/ML Model Design,0 to 1 year,Strong Agree,Strongly Disagree,Neutral,Strong Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Neutral,Strong Agree,Strongly Disagree,Neutral,Strong Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Neutral,Strong Agree,,Neutral,Neutral,Strong Agree,Strong Agree,Neutral,Strongly Disagree,Strongly Disagree,Strong Agree,Strong Agree,Strongly Disagree,No,,No,,,,
2023-11-13 ä¸__04:06:47,Agree,Israel,Industrial or freelance professional,"Java, Python",Algorithm/ML Model Design,2 to 3 years,Agree,Neutral,Neutral,Strong Agree,Strong Agree,Neutral,Neutral,Agree,I don't Know,I don't Know,Agree,Agree,,Neutral,Neutral,Neutral,Strong Agree,Strong Agree,Agree,,Neutral,Neutral,Neutral,Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Yes,"I use it, but the main problem with such tools is that they are not smart and only cover specific sets of use cases, being inflexible (though there are sometimes exceptions)",No,"I've heard about automatic refactoring tools, but I found that they don't perform operations very safely (such changes are not always irreversible, - let's imagine we made several commits after that, and found out that such took made a mistake that we missed, how to fix it?).",,"such tools are not sensitive to the project. let's imagine a tool, that takes into account project desicions , rules, conventions. moreover, tool that scans git history and ""understands"" such git changes that were specifically about refactorings. and let's imagine that such tool ""understands""  commands that are relevant to specific project in natural language format (""please do such refactoring: make separation of <this> module"" , etc.)",
2023-11-14 ä¸__04:28:22,Agree,Canada/Vancouver,Industrial or freelance professional,"Java, C/C++, Python, JavaScript, C#",Algorithm/ML Model Design,10 years or more,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Agree,Yes,"There are metrics of code coverage, test coverage, complexity metrics.",No,,,Do it manually after inspecting the source code,
2023-11-13 ä¸__04:49:21,Agree,,Academic or industrial researcher,Python,Development,10 years or more,Agree,Neutral,Neutral,Strong Agree,Strong Agree,Disagree,Disagree,Neutral,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Disagree,Agree,Neutral,Neutral,,Neutral,Agree,Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Neutral,Yes,"I am using the default one in PyCharm. In some cases the corrections for Python may affect the actual launching of the code. For example, imports in unit tests may differ for cases when test is launched from shell, or from the IDE.",Yes,It is still necessary to check afterwards.,No,"If it is not already, then it is supposed to be not a partern-matching alike update, but a context-depended. The overall explanation provided alongside with the replacement might depend on the context, in which code-part is expected to be automatically refactored.",
2023-11-9 ä¸__07:53:12,Agree,Germany,Academic or industrial researcher,Python,Development,4 to 5 years,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,I don't Know,Strong Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Neutral,Disagree,,Strong Agree,Disagree,Strong Agree,Strong Agree,Agree,Strong Agree,Disagree,Strong Agree,Strong Agree,Strong Agree,No,,No,,,No,
2023-11-12 ä¸__06:34:28,Agree,United kingdom,Industrial or freelance professional,Python,Development,2 to 3 years,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,"They can be useful but are not always easy to set up. They usually aren't designed with ML projects in mind, and sometimes raise inappropriate warnings. For example an ML algorithm may have many hyperparameters, but a code smell detection tool will complain that a function shouldn't have so many arguments.",No,"I use auto formatting tools, but I haven't tried auto refactoring tools. I think auto refactoring tools would probably be annoying to use. I write my code deliberately and don't want it to be changed unexpectedly.",,,
